Date,timeFrame,gridePoints,Humidity (%),roomHeight (cm),roomWidth(cm),roomLength(cm),num_students,windowsOpen,fansWorking,temperature (oC)
9/3/2026,AFTERNOON,L3,54.08,379,760,1516,18,40,7,40.2
9/3/2026,AFTERNOON,L4,54.08,379,760,1516,18,40,7,40.2
9/3/2026,EVENING,A1,66.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,A2,67.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,A3,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,A4,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,B1,67.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,B2,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,B3,67.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,B4,68.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,C1,68.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,C2,67.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,C3,67.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,C4,67.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,D1,68.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,D2,67.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,D3,66.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,D4,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,E1,67.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,E2,66.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,E3,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,E4,66.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,F1,66.08,379,760,1516,5,20,7,31
9/3/2026,EVENING,F2,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,F3,66.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,F4,65.08,379,760,1516,5,20,7,30.6
9/3/2026,EVENING,G1,65.08,379,760,1516,5,20,7,30.8
9/3/2026,EVENING,G2,65.08,379,760,1516,5,20,7,30.8
9/3/2026,EVENING,G3,65.08,379,760,1516,5,20,7,30.8
9/3/2026,EVENING,G4,65.08,379,760,1516,5,20,7,30.8
9/3/2026,EVENING,H1,65.08,379,760,1516,5,20,7,30.8
9/3/2026,EVENING,H2,65.08,379,760,1516,5,20,7,30.8
9/3/2026,EVENING,H3,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,H4,66.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,I1,66.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,I2,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,I3,67.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,I4,66.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,J1,64.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,J2,64.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,J3,63.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,J4,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,K1,63.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,K2,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,K3,66.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,K4,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,L1,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,L2,66.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,L3,65.08,379,760,1516,5,20,7,31.2
9/3/2026,EVENING,L4,65.08,379,760,1516,5,20,7,31.2
10/3/2026,MORNING,A1,74.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,A2,75.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,A3,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,A4,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,B1,75.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,B2,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,B3,75.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,B4,76.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,C1,76.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,C2,75.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,C3,75.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,C4,75.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,D1,76.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,D2,75.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,D3,74.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,D4,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,E1,75.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,E2,74.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,E3,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,E4,74.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,F1,74.08,379,760,1516,18,21,7,28
10/3/2026,MORNING,F2,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,F3,74.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,F4,73.08,379,760,1516,18,21,7,27.6
10/3/2026,MORNING,G1,73.08,379,760,1516,18,21,7,27.8
10/3/2026,MORNING,G2,73.08,379,760,1516,18,21,7,27.8
10/3/2026,MORNING,G3,73.08,379,760,1516,18,21,7,27.8
10/3/2026,MORNING,G4,73.08,379,760,1516,18,21,7,27.8
10/3/2026,MORNING,H1,73.08,379,760,1516,18,21,7,27.8
10/3/2026,MORNING,H2,73.08,379,760,1516,18,21,7,27.8
10/3/2026,MORNING,H3,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,H4,74.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,I1,74.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,I2,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,I3,75.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,I4,74.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,J1,72.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,J2,72.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,J3,71.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,J4,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,K1,71.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,K2,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,K3,74.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,K4,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,L1,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,L2,74.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,L3,73.08,379,760,1516,18,21,7,28.2
10/3/2026,MORNING,L4,73.08,379,760,1516,18,21,7,28.2
10/3/2026,AFTERNOON,A1,57.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,A2,58.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,A3,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,A4,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,B1,58.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,B2,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,B3,58.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,B4,59.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,C1,59.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,C2,58.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,C3,58.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,C4,58.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,D1,59.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,D2,58.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,D3,57.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,D4,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,E1,58.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,E2,57.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,E3,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,E4,57.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,F1,57.08,379,760,1516,18,35,7,39
10/3/2026,AFTERNOON,F2,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,F3,57.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,F4,56.08,379,760,1516,18,35,7,38.6
10/3/2026,AFTERNOON,G1,56.08,379,760,1516,18,35,7,38.8
10/3/2026,AFTERNOON,G2,56.08,379,760,1516,18,35,7,38.8
10/3/2026,AFTERNOON,G3,56.08,379,760,1516,18,35,7,38.8
10/3/2026,AFTERNOON,G4,56.08,379,760,1516,18,35,7,38.8
10/3/2026,AFTERNOON,H1,56.08,379,760,1516,18,35,7,38.8
10/3/2026,AFTERNOON,H2,56.08,379,760,1516,18,35,7,38.8
10/3/2026,AFTERNOON,H3,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,H4,57.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,I1,57.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,I2,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,I3,58.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,I4,57.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,J1,55.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,J2,55.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,J3,54.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,J4,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,K1,54.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,K2,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,K3,57.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,K4,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,L1,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,L2,57.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,L3,56.08,379,760,1516,18,35,7,39.2
10/3/2026,AFTERNOON,L4,56.08,379,760,1516,18,35,7,39.2
10/3/2026,EVENING,A1,68.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,A2,69.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,A3,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,A4,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,B1,69.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,B2,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,B3,69.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,B4,70.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,C1,70.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,C2,69.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,C3,69.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,C4,69.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,D1,70.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,D2,69.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,D3,68.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,D4,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,E1,69.08,379,760,1516,18,12,7,29.6
10/3/2026,EVENING,E2,68.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,E3,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,E4,68.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,F1,68.08,379,760,1516,18,12,7,30
10/3/2026,EVENING,F2,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,F3,68.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,F4,67.08,379,760,1516,18,12,7,29.6
